,time,SOA,O2C
207,0.3467,20.4193,0.38521
208,0.3483,20.5227,0.38516
209,0.35,20.6256,0.38511
210,0.3517,20.7281,0.38506
211,0.3533,20.8301,0.38502
212,0.355,20.9317,0.38497
213,0.3567,21.0329,0.38492
214,0.3583,21.1337,0.38488
215,0.36,21.234,0.38483
216,0.3617,21.3339,0.38478
217,0.3633,21.4334,0.38474
218,0.365,21.5325,0.38469000000000003
219,0.3667,21.6312,0.38465
220,0.3683,21.7294,0.38461
221,0.37,21.8272,0.38456
222,0.3717,21.9246,0.38452
223,0.3733,22.0216,0.38448000000000004
224,0.375,22.1182,0.38443
225,0.3767,22.2144,0.38439
226,0.3783,22.3102,0.38435
227,0.38,22.4056,0.38431
228,0.3817,22.5006,0.38427
229,0.3833,22.5952,0.38422
230,0.385,22.6894,0.38418
231,0.3867,22.7831,0.38414
232,0.3883,22.8765,0.3841
233,0.39,22.9695,0.38406
234,0.3917,23.0622,0.38402
235,0.3933,23.1544,0.38398000000000004
236,0.395,23.2462,0.38395
237,0.3967,23.3377,0.38391
238,0.3983,23.4288,0.38387
239,0.4,23.5195,0.38383
240,0.4017,23.6098,0.38379
241,0.4033,23.6997,0.38376
242,0.405,23.7893,0.38372
243,0.4067,23.8784,0.38368
244,0.4083,23.9673,0.38364000000000004
245,0.41,24.0557,0.38361
246,0.4117,24.1438,0.38356999999999997
247,0.4133,24.2315,0.38354
248,0.415,24.3188,0.3835
249,0.4167,24.4058,0.38345999999999997
250,0.4183,24.4924,0.38343
251,0.42,24.5787,0.38339
252,0.4217,24.6646,0.38336
253,0.4233,24.7501,0.38332
254,0.425,24.8353,0.38329
255,0.4267,24.9201,0.38326
256,0.4283,25.0046,0.38322
257,0.43,25.0887,0.38319000000000003
258,0.4317,25.1725,0.38315
259,0.4333,25.2559,0.38311999999999996
260,0.435,25.339,0.38309
261,0.4367,25.4218,0.38306
262,0.4383,25.5042,0.38301999999999997
263,0.44,25.5862,0.38299
264,0.4417,25.6679,0.38295999999999997
265,0.4433,25.7493,0.38293
266,0.445,25.8304,0.38289
267,0.4467,25.9111,0.38286
268,0.4483,25.9914,0.38283
269,0.45,26.0715,0.3828
270,0.4517,26.1512,0.38277
271,0.4533,26.2306,0.38274
272,0.455,26.3097,0.38271
273,0.4567,26.3884,0.38268
274,0.4583,26.4668,0.38265
275,0.46,26.5449,0.38261999999999996
276,0.4617,26.6227,0.38259
277,0.4633,26.7001,0.38256
278,0.465,26.7773,0.38253000000000004
279,0.4667,26.8541,0.3825
280,0.4683,26.9306,0.38247
281,0.47,27.0068,0.38244
282,0.4717,27.0827,0.38240999999999997
283,0.4733,27.1583,0.38238
284,0.475,27.2335,0.38235
285,0.4767,27.3085,0.38232
286,0.4783,27.3831,0.3823
287,0.48,27.4575,0.38227
288,0.4817,27.5315,0.38224
289,0.4833,27.6053,0.38221
290,0.485,27.6787,0.38219000000000003
291,0.4867,27.7519,0.38216
292,0.4883,27.8247,0.38213
293,0.49,27.8973,0.3821
294,0.4917,27.9695,0.38208000000000003
295,0.4933,28.0415,0.38205
296,0.495,28.1132,0.38201999999999997
297,0.4967,28.1846,0.382
